Date,chamber,leaf,T_treatment,Water_treatment,percent_starch,starch_mgg,percent_sugar,sugar_mgg,percent_TNC,TNC_mgg,leafarea_cm2,leafmass_g
2013-07-08,C09,3,ambient,control,11.86951789,118.6951789,16.77635777,167.7635777,28.64587567,286.4587567,48.61,0.5144
2013-07-08,C10,1,elevated,control,15.06008414,150.6008414,11.35756621,113.5756621,26.41765035,264.1765035,32.01,0.3487
2013-07-08,C10,2,elevated,control,13.62851587,136.2851587,12.01739754,120.1739754,25.64591341,256.4591341,32.85,0.3539
2013-07-08,C10,3,elevated,control,12.86259377,128.6259377,10.81929983,108.1929983,23.6818936,236.818936,28.57,0.3169
2013-07-08,C11,1,ambient,control,,,,,,,43.97,0.6392
2013-07-08,C11,2,ambient,control,12.08880536,120.8880536,10.90002118,109.0002118,22.98882654,229.8882654,39.74,0.533
2013-07-08,C11,3,ambient,control,12.59151181,125.9151181,11.98405398,119.8405398,24.57556579,245.7556579,45.4,0.6088
2013-07-08,C12,1,elevated,control,18.34675742,183.4675742,11.25660174,112.5660174,29.60335916,296.0335916,48.89,0.6525
2013-07-08,C12,2,elevated,control,25.12584475,251.2584475,10.83713987,108.3713987,35.96298462,359.6298462,47.12,0.6737
2013-07-08,C12,3,elevated,control,16.61932345,166.1932345,8.169709842,81.69709842,24.7890333,247.890333,39.01,0.5417
2013-08-20,C01,1,ambient,control,18.31856594,183.1856594,15.04257881,150.4257881,33.36114475,333.6114475,28.84,0.342
2013-08-20,C01,2,ambient,control,15.13975129,151.3975129,14.71838514,147.1838514,29.85813643,298.5813643,30.17,0.329
2013-08-20,C01,3,ambient,control,16.61296019,166.1296019,12.70174942,127.0174942,29.31470961,293.1470961,31.84,0.413
2013-08-20,C02,1,elevated,control,18.26840338,182.6840338,13.67739818,136.7739818,31.94580156,319.4580156,43.22,0.454
2013-08-20,C02,2,elevated,control,16.37008163,163.7008163,11.27732104,112.7732104,27.64740267,276.4740267,43.82,0.534
2013-08-20,C02,3,elevated,control,16.54439801,165.4439801,13.08309103,130.8309103,29.62748904,296.2748904,45.71,0.521
