Sample Date,Time,Chamber,Canopy Position,Starch,Soluble Sugars,TNC
26/03/2014,6:00,C02,Upper,73.84,80.31,154.15
26/03/2014,6:00,C03,Lower,79.54,96.53,176.06
26/03/2014,6:00,C03,Upper,74.1,67,141.1
26/03/2014,6:00,C04,Lower,119.97,91.43,211.4
26/03/2014,6:00,C04,Upper,84.39,104.06,188.45
26/03/2014,6:00,C05,Lower,74.38,89.26,163.64
26/03/2014,6:00,C05,Upper,127.85,91.82,219.68
26/03/2014,6:00,C06,Lower,91.8,95.48,187.28
26/03/2014,6:00,C06,Upper,70.9,102.91,173.81
26/03/2014,6:00,C07,Lower,138.11,88.15,226.26
26/03/2014,6:00,C07,Upper,84.76,69.87,154.63
26/03/2014,6:00,C08,Lower,77.42,86.57,163.99
26/03/2014,6:00,C08,Upper,69.71,94.64,164.35
26/03/2014,6:00,C09,Lower,85.74,98.17,183.92
26/03/2014,6:00,C09,Upper,80.05,85.67,165.72
26/03/2014,6:00,C10,Lower,111.06,85.11,196.18
26/03/2014,6:00,C10,Upper,71.63,83.7,155.34
26/03/2014,6:00,C11,Lower,117.34,125.77,243.11
26/03/2014,6:00,C11,Upper,103.08,81.1,184.18
26/03/2014,6:00,C12,Lower,184.95,75.04,260
26/03/2014,6:00,C12,Upper,74.42,73.62,148.05
26/03/2014,8:00,C01,Lower,73.39,58.73,132.12
26/03/2014,8:00,C01,Upper,73.06,74.89,147.95
26/03/2014,8:00,C02,Lower,108.11,93.67,201.77
26/03/2014,8:00,C02,Upper,62.73,81.91,144.64
26/03/2014,8:00,C03,Lower,59.41,49.28,108.69
26/03/2014,8:00,C03,Upper,65,55.88,120.87
26/03/2014,8:00,C04,Lower,114.48,81.11,195.59
26/03/2014,8:00,C04,Upper,70.2,92.08,162.28
26/03/2014,8:00,C05,Lower,84.26,91.74,176
26/03/2014,8:00,C05,Upper,66.74,78.84,145.57
26/03/2014,8:00,C06,Lower,75.38,85.97,161.35
26/03/2014,8:00,C06,Upper,66.73,98.13,164.85
26/03/2014,8:00,C07,Lower,128.89,69.42,198.31
26/03/2014,8:00,C07,Upper,82.63,75.74,158.38
26/03/2014,8:00,C08,Lower,88.88,86.84,175.72
26/03/2014,8:00,C08,Upper,65.63,95.23,160.86
26/03/2014,8:00,C09,Lower,93.9,95.37,189.28
26/03/2014,8:00,C09,Upper,72.36,80.39,152.75
26/03/2014,8:00,C10,Lower,107.59,97.7,205.29
26/03/2014,8:00,C10,Upper,70.34,78.22,148.56
26/03/2014,8:00,C11,Lower,82.22,66.44,148.66
26/03/2014,8:00,C11,Upper,67.45,69.2,136.65
