"Date","T_treatment","Tair"
2014-03-14,"ambient",21.1050261117321
2014-03-14,"elevated",24.3137293668957
2014-03-15,"ambient",21.2609299373927
2014-03-15,"elevated",24.2613518737544
2014-03-16,"ambient",21.6234205532003
2014-03-16,"elevated",23.9530649551821
2014-03-17,"ambient",22.0247600282381
2014-03-17,"elevated",23.5385660079165
2014-03-18,"ambient",22.4755197159817
2014-03-18,"elevated",23.2598362231999
2014-03-19,"ambient",22.6704845815908
2014-03-19,"elevated",23.5732788234916
2014-03-20,"ambient",21.9251949596663
2014-03-20,"elevated",23.6416234667334
2014-03-21,"ambient",21.8705142863499
2014-03-21,"elevated",24.3164446486391
2014-03-22,"ambient",21.2487257230966
2014-03-22,"elevated",24.2431894778553
2014-03-23,"ambient",21.229791760715
2014-03-23,"elevated",24.2283770660476
2014-03-24,"ambient",20.7928113839318
2014-03-24,"elevated",23.7937739462622
2014-03-25,"ambient",19.9095827817741
2014-03-25,"elevated",22.9098094057747
2014-03-26,"ambient",19.5701849691765
2014-03-26,"elevated",22.5695529772662
2014-03-27,"ambient",19.550527212767
2014-03-27,"elevated",22.5448188713161
2014-03-28,"ambient",19.8208296635927
2014-03-28,"elevated",22.8208984166111
2014-03-29,"ambient",19.7861660018482
2014-03-29,"elevated",22.7854130944388
2014-03-30,"ambient",19.7460834522668
2014-03-30,"elevated",22.7483435709061
2014-03-31,"ambient",20.4673606722223
2014-03-31,"elevated",23.4678300212362
2014-04-01,"ambient",20.5988960335611
2014-04-01,"elevated",23.5872179182143
2014-04-02,"ambient",20.1954304985258
2014-04-02,"elevated",23.1667559993467
2014-04-03,"ambient",19.8234135791446
2014-04-03,"elevated",22.7900926924737
2014-04-04,"ambient",20.5442796787434
2014-04-04,"elevated",23.5239646716889
2014-04-05,"ambient",20.953640639442
2014-04-05,"elevated",23.9503230151129
2014-04-06,"ambient",21.227468645107
2014-04-06,"elevated",24.2252935599938
2014-04-07,"ambient",20.2508833245696
2014-04-07,"elevated",23.2487870635712
2014-04-08,"ambient",19.1947365948758
2014-04-08,"elevated",22.1921397304886
2014-04-09,"ambient",18.5056933538328
2014-04-09,"elevated",21.5056092600622
2014-04-10,"ambient",18.3760545523108
2014-04-10,"elevated",21.3744167078495
2014-04-11,"ambient",18.7924421599272
2014-04-11,"elevated",21.7907795797209
2014-04-12,"ambient",19.5868434379242
2014-04-12,"elevated",22.5854910850743
2014-04-13,"ambient",19.6217931648865
2014-04-13,"elevated",22.5452279003888
2014-04-14,"ambient",19.4414691021505
2014-04-14,"elevated",22.3657091580069
2014-04-15,"ambient",17.7669126579437
2014-04-15,"elevated",20.6896253425228
2014-04-16,"ambient",17.05631458639
2014-04-16,"elevated",20.0549190778934
2014-04-17,"ambient",16.7685679833546
2014-04-17,"elevated",19.7675693956966
2014-04-18,"ambient",16.6629113019163
2014-04-18,"elevated",19.6623896331365
2014-04-19,"ambient",16.5417481072431
2014-04-19,"elevated",19.5424408471659
2014-04-20,"ambient",15.7523227275269
2014-04-20,"elevated",18.7524031526633
2014-04-21,"ambient",15.5471098338143
2014-04-21,"elevated",18.5452792077016
2014-04-22,"ambient",14.6226895021979
2014-04-22,"elevated",17.6234441432213
2014-04-23,"ambient",14.370503964329
2014-04-23,"elevated",17.3721827517461
2014-04-24,"ambient",13.6822734822506
2014-04-24,"elevated",16.6226645925326
2014-04-25,"ambient",15.3273816739622
2014-04-25,"elevated",18.2450194549274
2014-04-26,"ambient",15.8067297992796
2014-04-26,"elevated",18.7429316806934
2014-04-27,"ambient",16.1937388553199
2014-04-27,"elevated",19.1967087319135
2014-04-28,"ambient",15.7686491692394
2014-04-28,"elevated",18.767211239171
2014-04-29,"ambient",15.6758476069624
2014-04-29,"elevated",18.6773030403822
2014-04-30,"ambient",16.3233856420689
2014-04-30,"elevated",19.3218187187613
2014-05-01,"ambient",17.0527470341131
2014-05-01,"elevated",20.0541581372708
2014-05-02,"ambient",15.7578609883025
2014-05-02,"elevated",18.7573005174348
2014-05-03,"ambient",14.6512578248266
2014-05-03,"elevated",17.6511603518782
2014-05-04,"ambient",12.9082303653528
2014-05-04,"elevated",15.9072650740338
2014-05-05,"ambient",13.5388988561121
2014-05-05,"elevated",16.4956100275063
2014-05-06,"ambient",12.4142116737398
2014-05-06,"elevated",15.367309748538
2014-05-07,"ambient",12.2039456439773
2014-05-07,"elevated",15.1577494673493
2014-05-08,"ambient",11.638245296752
2014-05-08,"elevated",14.4742320544669
2014-05-09,"ambient",12.4208428783743
2014-05-09,"elevated",15.2587166011603
2014-05-10,"ambient",12.9199985333049
2014-05-10,"elevated",15.7519539019261
2014-05-11,"ambient",13.0362163763992
2014-05-11,"elevated",16.0333801725586
2014-05-12,"ambient",14.1054540675851
2014-05-12,"elevated",17.1042852905085
2014-05-13,"ambient",14.3890028264583
2014-05-13,"elevated",17.3926022090822
2014-05-14,"ambient",15.2687319195594
2014-05-14,"elevated",18.0366465827312
2014-05-15,"ambient",14.4709784107247
2014-05-15,"elevated",17.1363667518585
2014-05-16,"ambient",13.9671440337192
2014-05-16,"elevated",16.5040429823468
2014-05-17,"ambient",12.8298295093867
2014-05-17,"elevated",15.6021864117862
2014-05-18,"ambient",12.5791949113678
2014-05-18,"elevated",15.4535562494503
2014-05-19,"ambient",12.8382659228696
2014-05-19,"elevated",15.8380148205531
2014-05-20,"ambient",13.4164829573454
2014-05-20,"elevated",16.4182260023911
2014-05-21,"ambient",14.2107690769764
2014-05-21,"elevated",17.2118847407457
2014-05-22,"ambient",14.4665863429435
2014-05-22,"elevated",17.4676303009876
2014-05-23,"ambient",14.5035621232615
2014-05-23,"elevated",17.2609753787745
2014-05-24,"ambient",14.8218883299439
2014-05-24,"elevated",17.4285313828239
2014-05-25,"ambient",15.8539146191762
2014-05-25,"elevated",18.4621177077663
2014-05-26,"ambient",16.5449182373274
2014-05-26,"elevated",19.3901195320932
